epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1698.26,2.36331,2.09803,2.35878,0.54645,0.35294,0.41889,0.17549,2.42743,2.58315,2.64141,0.0014192,0.0014192,0.0014192
90,1716.46,2.36978,2.00413,2.44656,0.66315,0.41176,0.4523,0.21235,2.42387,2.33916,2.60572,0.0014126,0.0014126,0.0014126
91,1734.67,2.23067,2.07611,2.36621,0.33171,0.52941,0.39102,0.17003,2.33613,2.78062,2.58161,0.001406,0.001406,0.001406
92,1752.78,2.34708,2.14005,2.41852,0.54339,0.52941,0.53463,0.21974,2.29801,2.13762,2.57237,0.0013994,0.0013994,0.0013994
93,1771,2.51304,2.13862,2.45198,0.54339,0.52941,0.53463,0.21974,2.29801,2.13762,2.57237,0.0013928,0.0013928,0.0013928
94,1788.98,2.33904,2.10002,2.46906,0.59599,0.60819,0.61812,0.2076,2.41321,2.04604,2.60098,0.0013862,0.0013862,0.0013862
95,1807.23,2.30033,2.07423,2.33652,0.38954,0.30071,0.42829,0.19399,2.31959,2.15052,2.52548,0.0013796,0.0013796,0.0013796
96,1825.43,2.4227,2.06537,2.39881,0.36505,0.35294,0.35859,0.19573,2.39735,2.27645,2.55446,0.001373,0.001373,0.001373
97,1843.61,2.25842,1.88633,2.28302,0.36505,0.35294,0.35859,0.19573,2.39735,2.27645,2.55446,0.0013664,0.0013664,0.0013664
98,1861.91,2.20762,2.03007,2.23705,0.41492,0.29412,0.36754,0.18258,2.33743,2.12509,2.51434,0.0013598,0.0013598,0.0013598
99,1879.97,2.45422,2.05323,2.41502,0.74722,0.29412,0.34191,0.12482,2.60502,2.35441,2.70897,0.0013532,0.0013532,0.0013532
100,1897.96,2.32181,1.9758,2.34299,0.72457,0.29412,0.38166,0.12767,2.49117,2.24401,2.63981,0.0013466,0.0013466,0.0013466
